id,identifier,category_id,cost,fling_power,fling_effect_id,name,short_effect,effect
489,data-card-04,41,0,,,Data Card 04,Records the number of times the trainer's Pokémon have jumped in the Pokéathlon.,Records the number of times the trainer's Pokémon have jumped in the Pokéathlon.
490,data-card-05,41,0,,,Data Card 05,Records the number of times the trainer has come in first in the Pokéathlon Hurdle Dash.,Records the number of times the trainer has come in first in the Pokéathlon Hurdle Dash.
491,data-card-06,41,0,,,Data Card 06,Records the number of times the trainer has come in first in the Pokéathlon Relay Run.,Records the number of times the trainer has come in first in the Pokéathlon Relay Run.
492,data-card-07,41,0,,,Data Card 07,Records the number of times the trainer has come in first in the Pokéathlon Pennant Capture.,Records the number of times the trainer has come in first in the Pokéathlon Pennant Capture.
493,data-card-08,41,0,,,Data Card 08,Records the number of times the trainer has come in first in the Pokéathlon Block Smash.,Records the number of times the trainer has come in first in the Pokéathlon Block Smash.
494,data-card-09,41,0,,,Data Card 09,Records the number of times the trainer has come in first in the Pokéathlon Disc Catch.,Records the number of times the trainer has come in first in the Pokéathlon Disc Catch.
495,data-card-10,41,0,,,Data Card 10,Records the number of times the trainer has come in first in the Pokéathlon Snow Throw.,Records the number of times the trainer has come in first in the Pokéathlon Snow Throw.
496,data-card-11,41,0,,,Data Card 11,Records the number of points the trainer has earned in the Pokéathlon.,Records the number of points the trainer has earned in the Pokéathlon.
497,data-card-12,41,0,,,Data Card 12,Records the number of times the trainer's Pokémon have messed up in the Pokéathlon.,Records the number of times the trainer's Pokémon have messed up in the Pokéathlon.
498,data-card-13,41,0,,,Data Card 13,Records the number of times the trainer's Pokémon have defeated themselves in the Pokéathlon.,Records the number of times the trainer's Pokémon have defeated themselves in the Pokéathlon.
499,data-card-14,41,0,,,Data Card 14,Records the number of times the trainer's Pokémon have tackled in the Pokéathlon.,Records the number of times the trainer's Pokémon have tackled in the Pokéathlon.
500,data-card-15,41,0,,,Data Card 15,Records the number of times the trainer's Pokémon have fallen in the Pokéathlon.,Records the number of times the trainer's Pokémon have fallen in the Pokéathlon.
501,data-card-16,41,0,,,Data Card 16,Records the number of times the trainer has come in first in the Pokéathlon Ring Drop.,Records the number of times the trainer has come in first in the Pokéathlon Ring Drop.
502,data-card-17,41,0,,,Data Card 17,Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.,Records the number of times the trainer has come in first in the Pokéathlon Lamp Jump.
503,data-card-18,41,0,,,Data Card 18,Records the number of times the trainer has come in first in the Pokéathlon Circle Push.,Records the number of times the trainer has come in first in the Pokéathlon Circle Push.
504,data-card-19,41,0,,,Data Card 19,Records the number of times the trainer has come in first place overall in the Pokéathlon over wirelss.,Records the number of times the trainer has come in first place overall in the Pokéathlon over wirelss.
505,data-card-20,41,0,,,Data Card 20,Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.,Records the number of times the trainer has come in last place overall in the Pokéathlon over wireless.
506,data-card-21,41,0,,,Data Card 21,Records the number of times the trainer has come in first across all Pokéathlon events.,Records the number of times the trainer has come in first across all Pokéathlon events.
507,data-card-22,41,0,,,Data Card 22,Records the number of times the trainer has come in last across all Pokéathlon events.,Records the number of times the trainer has come in last across all Pokéathlon events.
508,data-card-23,41,0,,,Data Card 23,Records the number of times the trainer has switched Pokémon in the Pokéathlon.,Records the number of times the trainer has switched Pokémon in the Pokéathlon.
509,data-card-24,41,0,,,Data Card 24,Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.,Records the number of times the trainer has come in first in the Pokéathlon Goal Roll.
510,data-card-25,41,0,,,Data Card 25,Records the number of times the trainer's Pokémon received prizes in the Pokéathlon.,Records the number of times the trainer's Pokémon received prizes in the Pokéathlon.
511,data-card-26,41,0,,,Data Card 26,Records the number of times the trainer has instructed Pokémon in the Pokéathlon.,Records the number of times the trainer has instructed Pokémon in the Pokéathlon.
512,data-card-27,41,0,,,Data Card 27,Records the total time spent in the Pokéathlon.,Records the total time spent in the Pokéathlon.
513,lock-capsule,23,0,,,Lock Capsule,Contains TM95 (Snarl).,Does nothing.
514,photo-album,23,0,,,Photo Album,Stores photos from your adventure.,Does nothing.
515,orange-mail,25,50,,,Orange Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
516,harbor-mail,25,50,,,Harbor Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
517,glitter-mail,25,50,,,Glitter Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
518,mech-mail,25,50,,,Mech Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
519,wood-mail,25,50,,,Wood Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
520,wave-mail,25,50,,,Wave Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
521,bead-mail,25,50,,,Bead Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
522,shadow-mail,25,50,,,Shadow Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
523,tropic-mail,25,50,,,Tropic Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
524,dream-mail,25,50,,,Dream Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
525,fab-mail,25,50,,,Fab Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
526,retro-mail,25,0,,,Retro Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
527,mach-bike,21,0,,,Mach Bike,"Faster than the Acro Bike, and can ride up sandy slopes and across cracked floors.",Increases movement speed outside or in caves.  Faster than the []{item:acro-bike}.  Allows the trainer to ascend muddy slopes.
528,acro-bike,21,0,,,Acro Bike,"More maneuverable than the Mach Bike, and allows hopping along rails.","Increases movement speed outside or in caves.  Slower than the []{item:mach-bike}.  Can perform various tricks, allowing the trainer to reach certain special areas."
529,wailmer-pail,21,0,,,Wailmer Pail,Used to water berries.,Waters Berry plants.
530,devon-goods,22,0,,,Devon Goods,Contains mechanical parts to be delivered to Captain Stern.,Contains a machine part to be delivered to Captain Stern.
531,soot-sack,21,0,,,Soot Sack,Stores volcanic ash from Route 113.,Collects soot when walking through tall grass on []{location:hoenn-route-113}.
532,pokeblock-case,21,0,,,Pokéblock Case,Holds Pokéblocks.,Stores Pokéblocks.
533,letter,22,0,,,Letter,A letter to Steven from the Devon Corp president.,Contains a letter to be delivered to Steven.
534,eon-ticket,20,0,,,Eon Ticket,Provides access to Southern Island and Latias or Latios.,"Provides access to []{location:southern-island} and either []{pokemon:latias} or []{pokemon:latios}, whichever is not available roaming around Hoenn."
535,scanner,22,0,,,Scanner,Trade to Captain Stern for a DeepSeaTooth or DeepSeaScale.,May be traded to Captain Stern for a []{item:deep-sea-tooth} or a []{item:deep-sea-scale}.
536,go-goggles,21,0,,,Go-Goggles,Allows passage through windy deserts.,Allows the trainer to enter the desert on []{location:hoenn-route-111}.
537,meteorite,22,0,,,Meteorite,FL: Deliver to Lostelle's father. RSE: Trade to Professor Cozmo for TM27 (Return).,"RSE: May be traded to Professor Cozmo for []{item:tm27}.

FRLG: A meteorite to be delivered to Lostelle's father."
538,rm-1-key,22,0,,,Rm. 1 Key,Unlocks room 1 on the Abandoned Ship.,Unlocks room 1 on the []{location:abandoned-ship}.
539,rm-2-key,22,0,,,Rm. 2 Key,Unlocks room 2 on the Abandoned Ship.,Unlocks room 2 on the []{location:abandoned-ship}.
540,rm-4-key,22,0,,,Rm. 4 Key,Unlocks room 4 on the Abandoned Ship.,Unlocks room 4 on the []{location:abandoned-ship}.
541,rm-6-key,22,0,,,Rm. 6 Key,Unlocks room 6 on the Abandoned Ship.,Unlocks room 6 on the []{location:abandoned-ship}.
542,devon-scope,21,0,,,Devon Scope,Allows spotting of invisible Kecleon.,Reveals invisble []{pokemon:kecleon} on the overworld.
543,oaks-parcel,22,0,,,Oak's Parcel,Trade to Prof. Oak for a Pokédex.,A parcel to be delivered to Professor Oak for a Pokédex.
544,poke-flute,22,0,,,Poké Flute,"Use to awaken sleeping Pokémon, including Snorlax on roads.",Wakes up [sleeping]{mechanic:sleep} Pokémon.  Required to wake up sleeping []{pokemon:snorlax} on the overworld.
545,bike-voucher,22,0,,,Bike Voucher,Trade in Cerulean bike shop for a Bicycle.,May be traded for a []{item:bicycle}.
546,gold-teeth,22,0,,,Gold Teeth,The Safari Zone Warden's dentures. Trade for HM04 (Strength).,"The Safari Zone warden's teeth, to be returned to him for []{item:hm04}."
547,lift-key,22,0,,,Lift Key,Operates the elevator in Team Rocket's Celadon Hideout.,Operates the elevator in the Celadon Rocket Hideout.
548,silph-scope,22,0,,,Silph Scope,Used to identify the true forms of ghosts in Pokémon Tower.,Identifies ghosts in []{location:pokemon-tower}.
549,fame-checker,21,0,,,Fame Checker,Records information about NPCs.,Records information on various famous people.
550,tm-case,21,0,,,TM Case,Holds TMs.,Stores TMs and HMs.
551,berry-pouch,21,0,,,Berry Pouch,Holds berries.,Stores Berries.
552,teachy-tv,21,0,,,Teachy TV,Teachers basic trainer advice.,Teaches beginning trainers basic information.
553,tri-pass,22,0,,,Tri-Pass,Grants access to the first three Sevii Islands.,Provides access to the first three Sevii Islands.
554,rainbow-pass,22,0,,,Rainbow Pass,Grants access to all of the Sevii Islands.,Provides access to the Sevii Islands.
555,tea,22,0,,,Tea,Grants access to Saffron City.,Used to bribe the []{location:saffron-city} guards for entry to the city.
556,mysticticket,20,0,,,MysticTicket,Allows access to Navel Rock and Lugia or Ho-oh.,"Provides access to Navel Rock, []{pokemon:ho-oh}, and []{pokemon:lugia}."
557,auroraticket,20,0,,,AuroraTicket,Allows access to Birth Island and Deoxys.,Provides access to Birth Island and []{pokemon:deoxys}.
558,powder-jar,21,0,,,Powder Jar,Stores Berry Powder made using a Berry Crusher.,Holds Berry Powder from Berry Crushing.
559,ruby,22,0,,,Ruby,Give to Celio with Sapphire to activate Network Machine and get Rainbow Pass.,Deliver to Celio for use in the Network Machine.
560,sapphire,22,0,,,Sapphire,Give to Celio with Ruby to activate Network Machine and get Rainbow Pass.,Deliver to Celio for use in the Network Machine.
561,magma-emblem,22,0,,,Magma Emblem,Provides access to the Team Magma Hideout in the Jagged Pass.,Provides access to the []{location:magma-hideout} in the []{location:jagged-pass}.
562,old-sea-map,20,0,,,Old Sea Map,Allows access to Faraway Island and Mew. Unreleased outside of Japan.,Provides access to Faraway Island and []{pokemon:mew}.
563,douse-drive,18,0,70,,Douse Drive,"Grants Genesect a blue, Water-type Techno Blast.","Held by []{pokemon:genesect}
:   Holder's buster is blue, and its []{move:techno-blast} is []{type:water}-type."
564,shock-drive,18,0,70,,Shock Drive,"Grants Genesect a yellow, Electric-type Techno Blast.","Held by []{pokemon:genesect}
:   Holder's buster is yellow, and its []{move:techno-blast} is []{type:electric}-type."
565,burn-drive,18,0,70,,Burn Drive,"Grants Genesect a red, Fire-type Techno Blast.","Held by []{pokemon:genesect}
:   Holder's buster is red, and its []{move:techno-blast} is []{type:fire}-type."
566,chill-drive,18,0,70,,Chill Drive,"Grants Genesect a white, Ice-type Techno Blast.","Held by []{pokemon:genesect}
:   Holder's buster is white, and its []{move:techno-blast} becomes []{type:ice}-type."
567,sweet-heart,27,3000,30,,Sweet Heart,Restores 20 HP.,"Used on a friendly Pokémon
:   Restores 20 [HP]{mechanic:hp}."
568,greet-mail,25,50,,,Greet Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
569,favored-mail,25,50,,,Favored Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
570,rsvp-mail,25,50,,,RSVP Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
571,thanks-mail,25,50,,,Thanks Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
572,inquiry-mail,25,50,,,Inquiry Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
573,like-mail,25,50,,,Like Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
574,reply-mail,25,50,,,Reply Mail,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
575,bridge-mail-s,25,50,,,Bridge Mail S,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
576,bridge-mail-d,25,50,,,Bridge Mail D,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
577,bridge-mail-t,25,50,,,Bridge Mail T,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
578,bridge-mail-v,25,50,,,Bridge Mail V,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
579,bridge-mail-m,25,50,,,Bridge Mail M,Lets a Trainer write a message and send it via Pokémon trade.,"Used to send short messages to other players via Pokémon trading.  Trainer may compose a message from a finite list of words when giving this item to a Pokémon.  Once taken and read, a message may be erased and this item can be reused, or the message may be stored in the trainer's PC.

Held
:   Holder cannot be placed in the PC.  Any move attempting to remove this item from the holder will fail."
580,prism-scale,10,2000,30,,Prism Scale,Traded on a Feebas: Holder evolves into Milotic.,"Held by []{pokemon:feebas}
:   Holder evolves into []{pokemon:milotic} when traded."
581,eviolite,12,4000,40,,Eviolite,"Held: Holder has 1.5× Defense and Special Defense, as long as it's not fully evolved.","Held by a Pokémon that is not fully evolved
:   Holder has 1.5× [Defense]{mechanic:defense} and [Special Defense]{mechanic:special-defense}."
582,float-stone,12,4000,30,,Float Stone,Held: Holder has 0.5× weight.,"Held
:   Holder has 0.5× weight."
583,rocky-helmet,12,4000,60,,Rocky Helmet,"Held: When the holder is hit by a contact move, the attacking Pokémon takes 1/6 its max HP in damage.","Held
:   When the holder is hit by a [contact]{mechanic:contact} move, the attacking Pokémon takes 1/6 its max [HP]{mechanic:hp} in damage."
584,air-balloon,12,4000,10,,Air Balloon,"Held: Grants immunity to Ground-type moves, Spikes, and Toxic Spikes. Consumed when the holder takes damage from a move.","Held
:   Holder is immune to []{type:ground}-type moves, []{move:spikes}, []{move:toxic-spikes}, and []{ability:arena-trap}.

    This effect does not apply during []{move:gravity} or []{move:ingrain}.

    When the holder takes damage from a move, this item is consumed."
585,red-card,12,4000,10,,Red Card,"Held: When the holder takes damage from a move, the opponent switches out for another random party Pokémon. Consumed after use.","Held
:   When the holder takes damage directly from a move and does not faint, it [switches out]{mechanic:switching-out} for another random, non-fainted Pokémon in its party.
This effect does not activate if another effect prevents the holder from switching out."
586,ring-target,12,4000,10,,Ring Target,Held: Negates the holder's type immunities. Ability immunities are not removed.,"Held
:   When one of the user's types would render it immune to damage, that type is ignored for damage calculation."
587,binding-band,12,4000,30,,Binding Band,Held: Doubles the per-turn damage of multi-turn trapping moves.,"Held
:   Moves used by the holder that trap and damage a target for multiple turns (e.g. []{move:bind}, []{move:fire-spin}) inflict twice their usual per-turn damage."
588,absorb-bulb,12,4000,30,,Absorb Bulb,Held: Raises the holder's Special Attack by one stage when it takes Water-type damage.,"Held
:   When the holder takes []{type:water}-type damage from a move, its [Special Attack]{mechanic:special-attack} rises by one [stage]{mechanic:stage} and this item is consumed."
589,cell-battery,12,4000,30,,Cell Battery,Held: Raises the holder's Attack by one stage when it takes Electric-type damage.,"Held
:   When the holder takes []{type:electric}-type damage from a move, its [Attack]{mechanic:attack} rises by one [stage]{mechanic:stage} and this item is consumed."
590,eject-button,12,4000,30,,Eject Button,"Held: When the holder takes damage from a move, it switches out for a party Pokémon of the Trainer's choice.","Held
:   When the holder takes damage directly from a move and does not faint, it [switches out]{mechanic:switching-out} for another non-fainted Pokémon in its party, as chosen by the Trainer.
This effect does not activate if another effect prevents the holder from switching out."
591,fire-gem,42,200,,,Fire Gem,"Held: When the holder uses a damaging []{type:fire}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:fire}-type move, the move has 1.5× power and this item is consumed."
592,water-gem,42,200,,,Water Gem,"Held: When the holder uses a damaging []{type:water}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:water}-type move, the move has 1.5× power and this item is consumed."
593,electric-gem,42,200,,,Electric Gem,"Held: When the holder uses a damaging []{type:electric}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:electric}-type move, the move has 1.5× power and this item is consumed."
594,grass-gem,42,200,,,Grass Gem,"Held: When the holder uses a damaging []{type:grass}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:grass}-type move, the move has 1.5× power and this item is consumed."
595,ice-gem,42,200,,,Ice Gem,"Held: When the holder uses a damaging []{type:ice}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:ice}-type move, the move has 1.5× power and this item is consumed."
596,fighting-gem,42,200,,,Fighting Gem,"Held: When the holder uses a damaging []{type:fighting}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:fighting}-type move, the move has 1.5× power and this item is consumed."
597,poison-gem,42,200,,,Poison Gem,"Held: When the holder uses a damaging []{type:poison}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:poison}-type move, the move has 1.5× power and this item is consumed."
598,ground-gem,42,200,,,Ground Gem,"Held: When the holder uses a damaging []{type:ground}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:ground}-type move, the move has 1.5× power and this item is consumed."
599,flying-gem,42,200,,,Flying Gem,"Held: When the holder uses a damaging []{type:flying}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:flying}-type move, the move has 1.5× power and this item is consumed."
600,psychic-gem,42,200,,,Psychic Gem,"Held: When the holder uses a damaging []{type:psychic}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:psychic}-type move, the move has 1.5× power and this item is consumed."
601,bug-gem,42,200,,,Bug Gem,"Held: When the holder uses a damaging []{type:bug}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:bug}-type move, the move has 1.5× power and this item is consumed."
602,rock-gem,42,200,,,Rock Gem,"Held: When the holder uses a damaging []{type:rock}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:rock}-type move, the move has 1.5× power and this item is consumed."
603,ghost-gem,42,200,,,Ghost Gem,"Held: When the holder uses a damaging []{type:ghost}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:ghost}-type move, the move has 1.5× power and this item is consumed."
604,dark-gem,42,200,,,Dark Gem,"Held: When the holder uses a damaging []{type:dark}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:dark}-type move, the move has 1.5× power and this item is consumed."
605,steel-gem,42,200,,,Steel Gem,"Held: When the holder uses a damaging []{type:steel}-type move, the move has 1.5× power and this item is consumed.","Held
:   When the holder uses a damaging []{type:steel}-type move, the move has 1.5× power and this item is consumed."
606,health-wing,26,300,20,,Health Feather,Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [HP]{mechanic:hp} [effort]{mechanic:effort} by 1."
607,muscle-wing,26,300,20,,Muscle Feather,Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Attack]{mechanic:attack} [effort]{mechanic:effort} by 1."
608,resist-wing,26,300,20,,Resist Feather,Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Defense]{mechanic:defense} [effort]{mechanic:effort} by 1."
609,genius-wing,26,300,20,,Genius Feather,Increases [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 1."
610,clever-wing,26,300,20,,Clever Feather,Increases [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 1."
611,swift-wing,26,300,20,,Swift Feather,Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1.,"Used on a party Pokémon
:   Increases the target's [Speed]{mechanic:speed} [effort]{mechanic:effort} by 1."
612,pretty-wing,24,1000,20,,Pretty Feather,Sell for 100 Pokédollars.,Vendor trash.
613,cover-fossil,35,7000,100,,Cover Fossil,Can be revived into a []{pokemon:tirtouga}.,Give to a scientist in a museum to receive a []{pokemon:tirtouga}.
614,plume-fossil,35,7000,100,,Plume Fossil,Can be revived into a []{pokemon:archen}.,Give to a scientist in a museum to receive a []{pokemon:archen}.
615,liberty-pass,20,0,,,Liberty Pass,Allows access to Liberty Garden and Victini.,"Allows passage on the []{location:castelia-city} ship, which leads to []{location:liberty-garden} and []{pokemon:victini}."
616,pass-orb,12,200,30,,Pass Orb,Activates Pass Powers.,Acts as currency to activate Pass Powers in the Entralink.
617,dream-ball,33,0,,,Dream Ball,Catches Pokémon found in the Dream World.,"Can only be used in Entree Forest, to catch Pokémon encountered in the Dream World.

Used in battle
:   [Catches]{mechanic:catch} a wild Pokémon without fail."
618,poke-toy,11,100,30,,Poké Toy,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
619,prop-case,21,0,,,Prop Case,Stores props for the Pokémon Musical.,Stores props for the Pokémon Musical.
620,dragon-skull,22,0,,,Dragon Skull,Return to the museum in Nacrene City.,Only used as a plot point; this item is given to the player and taken away in the same cutscene.
621,balm-mushroom,24,15000,30,,Balm Mushroom,Sell to Hungry Maid for 25000 Pokédollars.,Cult vendor trash.
622,big-nugget,24,40000,130,,Big Nugget,Sell to Ore Collector for 30000 Pokédollars.,Cult vendor trash.
623,pearl-string,24,20000,30,,Pearl String,Sell to Ore Collector for 25000 Pokédollars.,Cult vendor trash.
624,comet-shard,24,25000,30,,Comet Shard,Sell to Ore Collector for 60000 Pokédollars.,Cult vendor trash.
625,relic-copper,24,0,30,,Relic Copper,Sell to Villa Owner for 1000 Pokédollars.,Cult vendor trash.
626,relic-silver,24,0,30,,Relic Silver,Sell to Villa Owner 5000 Pokédollars.,Cult vendor trash.
627,relic-gold,24,60000,30,,Relic Gold,Sell to Villa Owner 10000 Pokédollars.,Cult vendor trash.
628,relic-vase,24,0,30,,Relic Vase,Sell to Villa Owner 50000 Pokédollars.,Cult vendor trash.
629,relic-band,24,0,30,,Relic Band,Sell to Villa Owner for 100000 Pokédollars.,Cult vendor trash.
